iteration,train_loss,train_acc,test_loss,test_acc
0,1.0507874719980286,0.6978314319433517,0.6899028299193756,0.7973856209150326
1,0.5915095164281566,0.8072777340676633,0.5907137707314071,0.8100490196078431
2,0.5131190709224561,0.8303009441384737,0.5524502945881263,0.8216911764705882
3,0.4794100262042953,0.8370328481510622,0.5557550050172151,0.8200571895424836
4,0.4571001831351257,0.8428058615263573,0.54580796031537,0.8259803921568627
5,0.4349245604218506,0.8495131785995279,0.5119831236261948,0.8290441176470589
6,0.3982028696231726,0.8626426042486232,0.5546652263797381,0.8241421568627451
7,0.4045857391342884,0.8604887883556255,0.5607670323521483,0.8161764705882353
8,0.3826986185297733,0.8700924468922109,0.5465955916499975,0.8345588235294118
9,0.3944965512287326,0.858212037765539,0.5572471765837833,0.8229166666666666
10,0.35263901414667687,0.874955743509048,0.5411438744734315,0.8345588235294118
11,0.3485247955816548,0.879843627065303,0.5368009412697717,0.8265931372549019
12,0.34169181937851556,0.8807779307631786,0.5741491112492833,0.8270016339869282
13,0.3704274595874112,0.8696547993705743,0.5706172208575642,0.8212826797385621
14,0.32453572154045107,0.8853412667191188,0.5583847417843109,0.8292483660130718
15,0.31627488924962716,0.889462037765539,0.5921558490863034,0.8141339869281046
16,1.3834960597317394,0.579076514555468,1.26543411349549,0.6107026143790849
17,0.9663423203840489,0.6938630999213218,1.186416947958516,0.6331699346405228
18,0.7893840443797228,0.744315499606609,1.7667710982701357,0.5884395424836601
19,0.6594273923373803,0.7874655782848151,0.971013624586311,0.7150735294117647
20,0.5356665755190501,0.8260572383949646,1.0736131849242192,0.6595179738562091
21,0.4630431379486875,0.8447974036191975,0.9941891764528027,0.7099673202614379
22,0.33982949460425027,0.8821498819826908,1.1636051561902552,0.6815767973856208
23,0.26528315269728986,0.9153766719118804,1.0924640341716654,0.6903594771241831
24,0.21846922093593493,0.9315450432730134,1.068349047070917,0.704452614379085
25,0.1980524029582739,0.9376524390243902,1.2672880066230017,0.6950571895424836
