iteration,train_loss,train_acc,test_loss,test_acc
0,1.402549295018359,0.606205743509048,1.0349206369297177,0.7183415032679739
1,0.8980953036285029,0.7325826121164438,0.8688080135513755,0.7526552287581699
2,0.7801891543516298,0.7589496459480725,0.8076239868121988,0.7544934640522876
3,0.717195187400027,0.7745082612116444,0.7779999086085487,0.755718954248366
4,0.6791895946351493,0.7819876081825334,0.7634535931489047,0.7581699346405228
5,0.6356423260235204,0.7949203383162864,0.7451296796401342,0.7630718954248366
6,0.6162486416537587,0.7976642407553108,0.7398667450921208,0.7606209150326797
7,0.5997759571889552,0.801962037765539,0.7335976739140118,0.7667483660130718
8,0.5809514084967171,0.805020653029111,0.727470766972093,0.7716503267973855
9,0.5593197058613707,0.8159618410700237,0.7418549252199191,0.7624591503267973
10,0.5518506295797302,0.813852281667978,0.740945049945046,0.7630718954248366
11,0.554597466966001,0.818572974036192,0.7298416571289885,0.7698120915032679
12,0.532274624269183,0.8231412273800157,0.738865062448324,0.7630718954248366
13,0.5298779090730156,0.818882769472856,0.7273854166269302,0.7685866013071895
14,0.5202708890525306,0.8254376475216365,0.7317620723270902,0.7575571895424836
15,0.5207477639361126,0.8272472462627852,0.7363810343485252,0.7667483660130718
16,0.5150984463168353,0.8275668764752164,0.7466962620908139,0.7649101307189542
17,0.5104906404163779,0.8210169158143195,0.746817908450669,0.7606209150326797
18,0.4953434918711825,0.8284667584579072,0.7409006590936699,0.7624591503267973
19,0.4871347005774335,0.831992525570417,0.7331639886194584,0.772875816993464
20,0.5025808722507663,0.8251130999213219,0.7457482559131641,0.7685866013071895
21,0.4793918230911581,0.839285011801731,0.7459077370517394,0.7679738562091503
22,0.47799917684822546,0.8353412667191188,0.7523039284290052,0.7679738562091503
23,0.47693428996859527,0.8357887490165224,0.754014172828665,0.7624591503267973
24,0.8225681730886785,0.7531766325727773,0.5845733168078404,0.8155637254901961
25,0.44889855344847934,0.8530192761605035,0.6372759336532623,0.8206699346405228
26,0.27274297681160087,0.9144767899291896,0.6837290118302346,0.8086192810457516
27,0.22859919083918012,0.9262096774193549,0.6887303575435105,0.8174019607843137
28,0.18802686969681484,0.9377901258851298,0.7762598474966544,0.8163807189542484
29,0.16151660192848705,0.9480182926829268,0.8411068754891554,0.7914624183006537
30,0.14781133172715583,0.9495279307631787,0.864784733447082,0.7990196078431373
31,0.17914882689805292,0.9425157356412274,0.7514433698619113,0.8024918300653595
32,0.1297156350914298,0.9579071597167584,0.8129050568403566,0.8174019607843137
33,0.09350418400632718,0.9688975216365067,0.813068733934094,0.8063725490196079
34,0.12284776198382422,0.9591365066876475,0.8905342632137677,0.8102532679738562
