iteration,train_loss,train_acc,test_loss,test_acc
0,1.3987660876134547,0.5984116837136113,1.0583183368047078,0.6942401960784313
1,0.9339252381789975,0.707735051140834,0.9282810148947379,0.7185457516339869
2,0.8178956576963751,0.7386654209284029,0.841425516149577,0.7291666666666666
3,0.7608875931763067,0.7517948465774981,0.8067784138462123,0.7487745098039216
4,0.7349140008775199,0.7568056648308419,0.7721560350527951,0.7502042483660131
5,0.7026480647121988,0.7702301337529505,0.8314947401191674,0.7461192810457516
6,0.6877417282360356,0.7696351298190401,0.7648872649844956,0.7634803921568627
7,0.668246480677186,0.7734362706530291,0.7765842969803249,0.7538807189542484
8,0.6638682089200834,0.7741886309992133,0.7831719133491609,0.764297385620915
9,0.6539586089006284,0.7790912667191189,0.8110809403599477,0.7524509803921569
10,0.6402261409090786,0.7803206136900079,0.78232205717587,0.7542892156862745
11,0.6565949099819834,0.7761703383162865,0.8176358297613322,0.7491830065359477
12,0.6328718288642604,0.7830546813532652,0.8227003962531978,0.758374183006536
13,0.659722103287534,0.781815499606609,0.7754850592829433,0.7595996732026145
14,0.6305356060586325,0.782735051140834,0.8089895825467858,0.7536764705882353
15,0.6169710711008165,0.7891424075531078,0.8106702599747508,0.7591911764705882
16,0.626228497740699,0.7844020456333596,0.7964366727015552,0.7610294117647058
17,1.3832198919319525,0.5952104642014162,2.139584419189715,0.5477941176470589
18,1.3712144025942175,0.5997738001573564,1.5633321752150853,0.5888480392156863
19,0.988090664439085,0.6926485051140834,0.9855556452975553,0.7020016339869282
20,0.8409734323257353,0.7363837529504328,0.9711875445118138,0.7154820261437909
21,0.6372921491541513,0.7956972856018883,1.1306518757460164,0.6764705882352942
22,0.5308043796478248,0.8240558615263572,1.044213431503843,0.7042483660130718
23,0.459950596530263,0.8472364280094414,1.1288882122904647,0.7146650326797385
24,0.41809402809637347,0.8656717151848938,1.069040193861606,0.7267156862745098
25,0.348298090714507,0.8858035011801731,1.0888063237071037,0.7312091503267973
26,0.3175613527072639,0.8967791109362707,1.2346152984628491,0.6948529411764706
