iteration,train_loss,train_acc,test_loss,test_acc
0,0.6052053145519117,0.8156569630212431,0.4686512134092696,0.8455882352941176
1,0.41472639038068493,0.8646193941778128,0.47824058747466874,0.8596813725490197
2,0.36211472738806794,0.8804681353265146,0.47783913467006356,0.8555964052287581
3,0.31895783954277274,0.8920633359559402,0.47352505946422324,0.8549836601307189
4,0.2996619745725539,0.8931205743509049,0.4552548834506203,0.8635620915032679
5,0.27286527885532963,0.9062254130605822,0.4877118055580878,0.8482434640522876
6,0.2559311644696608,0.9103412667191189,0.45862397124223847,0.858047385620915
7,0.24304933142734736,0.9147669158143195,0.4448020284374555,0.8639705882352942
8,0.2223958506816771,0.9213316286388671,0.46170093298104464,0.8633578431372549
9,0.2065085908625184,0.927271833202203,0.4810387191600075,0.8574346405228758
10,0.18884269339827503,0.9295535011801731,0.5097392797744011,0.861111111111111
11,0.18957384032447164,0.9323121557828482,0.4965515335400899,0.8586601307189542
12,0.1746559005230665,0.9377950432730133,0.5029720245294419,0.8562091503267973
13,0.16459423955984231,0.943140243902439,0.49201999602875873,0.8672385620915032
14,0.15310064760014053,0.9448121557828482,0.49371278212935316,0.8562091503267973
15,0.14432404708208108,0.9487755704169945,0.5027887987374675,0.8629493464052287
16,0.13446683689679315,0.9531913847364281,0.5151735441394004,0.8562091503267973
17,0.12639103371468258,0.9562401652242329,0.5293113566551577,0.8513071895424836
18,0.7636126714145265,0.7798190401258852,0.6873870826527184,0.8031045751633987
19,0.4799388197863974,0.8431254917387884,0.602612158831428,0.8296568627450981
20,0.39507356562265533,0.8765096380802517,0.6960160316643762,0.8055555555555556
21,0.37172768721129834,0.880463217938631,0.8804844970285308,0.7879901960784313
22,0.32088836549622257,0.8980133752950433,0.6764863021580466,0.8143382352941176
23,0.283995268525692,0.906382769472856,0.6286698088743815,0.8378267973856208
24,0.2517289310330298,0.9182779307631787,0.9883112885496196,0.7587826797385621
25,0.240566452429062,0.9249754130605823,0.8612811416844088,0.7959558823529411
26,0.25535115927185226,0.9181304091266719,1.0396139626117313,0.7722630718954248
27,0.21320540724640213,0.933212037765539,0.9845079768302978,0.7626633986928105
