iteration,train_loss,train_acc,test_loss,test_acc
0,1.2442586651662502,0.625132769472856,0.9698008912451127,0.7036356209150326
1,0.8104042258204484,0.7391227380015736,0.8376153787853671,0.7395833333333334
2,0.6992509511912741,0.7678107789142408,0.8299671787695557,0.7526552287581699
3,0.6358006508612051,0.7885375688434304,0.8005295744275346,0.7665441176470589
4,0.5877165526151658,0.8002950432730134,0.7958594136232254,0.7636846405228758
5,0.5557750722257102,0.8123328088119591,0.8268647197195712,0.7589869281045752
6,0.5389246062534612,0.820544846577498,0.7983682234497631,0.7665441176470589
7,0.519135263998334,0.8204022423288749,0.8122956296246425,0.7653186274509803
8,0.5058875298354684,0.8293912273800158,0.7919801836650745,0.7657271241830066
9,0.48469311645845087,0.835183910306845,0.9165971136706716,0.7426470588235294
10,0.4703112233702729,0.8426681746656176,0.8125107634593459,0.7657271241830066
11,0.46078059437071406,0.8431107395751377,0.8151359998931488,0.772671568627451
12,0.4547960550319858,0.8467791109362707,0.8501437838171043,0.7636846405228758
13,0.4436429193107093,0.8476888276947285,0.8786487704252496,0.7534722222222223
14,0.4487260772687633,0.8443302517702597,0.919944213155438,0.7530637254901961
15,0.42775244178568445,0.8498377261998427,0.9096567649029049,0.7571486928104576
16,0.4228269597379173,0.854543666404406,0.8725407940938192,0.7567401960784313
17,0.4352992564439774,0.8486083792289536,0.8783998455048776,0.7679738562091503
18,0.4208119605736035,0.8571498819826908,0.896579044925816,0.7661356209150326
19,2.175613725766903,0.33542977970102283,2.023552033246732,0.3480392156862745
20,1.9345562615045686,0.3695515342250197,2.0298960103708157,0.33762254901960786
21,1.8508981722157176,0.4060238001573564,1.8475337758952497,0.4180964052287582
22,1.7384545064553982,0.4387686860739575,1.7700233716590732,0.43852124183006536
23,1.6453399954772576,0.4691384736428009,1.6827865760116016,0.47120098039215685
24,1.5825917214882084,0.4868164830841857,1.6588339547024054,0.4722222222222222
25,1.5258799529657132,0.5031372934697089,1.5726330443924548,0.5122549019607843
26,1.4497160437630443,0.5320908733280881,1.4911965786242019,0.5247140522875817
27,1.3898308189903819,0.5583054681353266,1.4684657943891544,0.5465686274509803
28,1.3356684533561147,0.57220692368214,1.5160719436757706,0.5337009803921569
