iteration,train_loss,train_acc,test_loss,test_acc
0,1.200702781066662,0.6530094413847365,0.8280856517307899,0.7477532679738562
1,0.6602167162953354,0.7958595594020457,0.6419326267113873,0.8004493464052287
2,0.5601003899806883,0.819315499606609,0.5773449420344596,0.8053513071895424
3,0.4961180732744496,0.8331923682140048,0.5646925047039986,0.8188316993464052
4,0.43958616685576557,0.8547059402045634,0.530974737204173,0.8212826797385621
5,0.4219734917326671,0.8613886703383163,0.5332579351596388,0.8225081699346405
6,0.39732360658122273,0.8655143587726201,0.5344840504375159,0.8292483660130718
7,0.3834596043679772,0.8688630999213218,0.5121604961653551,0.8286356209150326
8,0.3671114578479674,0.8790863493312353,0.5179335784678366,0.829861111111111
9,0.3669069918554004,0.8786437844217152,0.5250926594816002,0.8310866013071895
10,0.35740296909721886,0.877881589299764,0.5238970221549857,0.8329248366013071
11,0.3375490300902506,0.8842741935483871,0.5465864563068631,0.8231209150326797
12,0.33814594763808137,0.8824547600314713,0.5277672445072847,0.8359885620915032
13,0.32002780684610693,0.8894718725413061,0.5333681503201232,0.8310866013071895
14,0.3196013445534357,0.8890145554681353,0.5433186110036046,0.8310866013071895
15,0.31215407110568955,0.8915961841070024,0.5453998452673355,0.8341503267973855
16,0.30160029737687694,0.8934352871754524,0.5486885444717664,0.8286356209150326
17,0.2987784827809508,0.8943105822187255,0.5478299230921502,0.8335375816993463
18,1.1225339590776258,0.6616935483870968,1.09574804367388,0.6515522875816993
19,0.7318784433167155,0.7635326514555468,0.835475324415693,0.7528594771241831
20,0.6057152189132644,0.7972265932336743,0.82711885095227,0.7332516339869282
21,0.49891791845240246,0.8331972856018883,0.8604961879113141,0.7483660130718954
22,0.4390553543480431,0.8536487018095987,0.8141849542803624,0.7730800653594772
23,0.3538051857454021,0.8842840283241542,0.9168571375456511,0.7371323529411765
24,0.3245447176985624,0.8900668764752164,0.9011035847897623,0.7408088235294118
25,0.27653204335308657,0.9068351691581432,0.8664130137539378,0.7561274509803921
26,0.24375495790708357,0.91551435877262,0.9774734741624664,0.7520424836601307
27,0.232427840071117,0.9227035798583793,0.8676068248117671,0.7612336601307189
